evaluation_split,noise_case,feature_case,model_name,source_name,count,mae_k,bias_k,rmse_k
era5_leave_one_profile_out,degraded_nedt,drop_50_3,mean_baseline,winter_midlatitude_maritime_sample,80,1.2157765017393616,0.9314164197594295,1.664629773381927
era5_leave_one_profile_out,degraded_nedt,drop_50_3,ridge_regression,high_latitude_continental_2020,60,1.7238911554393126,1.4882409959036607,2.1258694962031854
era5_leave_one_profile_out,degraded_nedt,drop_50_3,ridge_regression,lower_latitude_maritime_2020,100,1.0367021779096433,0.5821908709464583,1.3239756188622098
era5_leave_one_profile_out,degraded_nedt,drop_50_3,ridge_regression,winter_midlatitude_maritime_sample,80,2.0252326932216205,-1.836125700520877,2.3589986036086645
era5_leave_one_profile_out,degraded_nedt,drop_52_8,linear_regression,high_latitude_continental_2020,60,1.8832799384807848,1.0855169854160607,2.213668251549527
era5_leave_one_profile_out,degraded_nedt,drop_52_8,linear_regression,lower_latitude_maritime_2020,100,0.6904726874551932,0.5370447944761042,0.8895232056560136
era5_leave_one_profile_out,degraded_nedt,drop_52_8,linear_regression,winter_midlatitude_maritime_sample,80,1.7968118206337942,-1.4827366235647212,2.0477376839382058
era5_leave_one_profile_out,degraded_nedt,drop_52_8,mean_baseline,high_latitude_continental_2020,60,22.378154329009917,22.378154329009917,22.461934186294627
era5_leave_one_profile_out,degraded_nedt,drop_52_8,mean_baseline,lower_latitude_maritime_2020,100,14.172025733213582,-14.172025733213582,14.178790901112688
era5_leave_one_profile_out,degraded_nedt,drop_52_8,mean_baseline,winter_midlatitude_maritime_sample,80,1.2157765017393616,0.9314164197594295,1.664629773381927
era5_leave_one_profile_out,degraded_nedt,drop_52_8,ridge_regression,high_latitude_continental_2020,60,1.8614671696542657,1.3356350293692312,2.153257969219386
era5_leave_one_profile_out,degraded_nedt,drop_52_8,ridge_regression,lower_latitude_maritime_2020,100,0.6497398577964879,0.5809134767154427,0.8009325885214996
era5_leave_one_profile_out,degraded_nedt,drop_52_8,ridge_regression,winter_midlatitude_maritime_sample,80,1.9313790871738092,-1.7232451605205,2.198585602162732
era5_leave_one_profile_out,degraded_nedt,drop_54_4,linear_regression,high_latitude_continental_2020,60,1.697138926846939,1.3570103197248387,1.9186551855132357
era5_leave_one_profile_out,degraded_nedt,drop_54_4,linear_regression,lower_latitude_maritime_2020,100,0.7760350240080208,0.7464163172242217,0.8830874923235607
era5_leave_one_profile_out,degraded_nedt,drop_54_4,linear_regression,winter_midlatitude_maritime_sample,80,2.0348901534715296,-1.9370461842425002,2.3058220910092615
era5_leave_one_profile_out,degraded_nedt,drop_54_4,mean_baseline,high_latitude_continental_2020,60,22.378154329009917,22.378154329009917,22.461934186294627
era5_leave_one_profile_out,degraded_nedt,drop_54_4,mean_baseline,lower_latitude_maritime_2020,100,14.172025733213582,-14.172025733213582,14.178790901112688
era5_leave_one_profile_out,degraded_nedt,drop_54_4,mean_baseline,winter_midlatitude_maritime_sample,80,1.2157765017393616,0.9314164197594295,1.664629773381927
era5_leave_one_profile_out,degraded_nedt,drop_54_4,ridge_regression,high_latitude_continental_2020,60,1.7025656320944738,1.4049834253373021,1.9301407135044668
era5_leave_one_profile_out,degraded_nedt,drop_54_4,ridge_regression,lower_latitude_maritime_2020,100,0.7670173123648403,0.7134702041997929,0.8870468971642077
era5_leave_one_profile_out,degraded_nedt,drop_54_4,ridge_regression,winter_midlatitude_maritime_sample,80,2.034500817150674,-1.932616896403831,2.2984543795517234
era5_leave_one_profile_out,degraded_nedt,full_3channel,linear_regression,high_latitude_continental_2020,60,1.7219184663577285,1.0274676158015685,2.0406775860717166
era5_leave_one_profile_out,degraded_nedt,full_3channel,linear_regression,lower_latitude_maritime_2020,100,0.7433848290556233,0.5208487100626717,0.9157915553718236
era5_leave_one_profile_out,degraded_nedt,full_3channel,linear_regression,winter_midlatitude_maritime_sample,80,1.6944504282898336,-1.4175599859754016,1.9560435712441293
era5_leave_one_profile_out,degraded_nedt,full_3channel,mean_baseline,high_latitude_continental_2020,60,22.378154329009917,22.378154329009917,22.461934186294627
era5_leave_one_profile_out,degraded_nedt,full_3channel,mean_baseline,lower_latitude_maritime_2020,100,14.172025733213582,-14.172025733213582,14.178790901112688
era5_leave_one_profile_out,degraded_nedt,full_3channel,mean_baseline,winter_midlatitude_maritime_sample,80,1.2157765017393616,0.9314164197594295,1.664629773381927
era5_leave_one_profile_out,degraded_nedt,full_3channel,ridge_regression,high_latitude_continental_2020,60,1.6783265295423675,1.1850480930661258,1.9799909590403162
era5_leave_one_profile_out,degraded_nedt,full_3channel,ridge_regression,lower_latitude_maritime_2020,100,0.7275633993379103,0.5540415935385016,0.8810491795107784
era5_leave_one_profile_out,degraded_nedt,full_3channel,ridge_regression,winter_midlatitude_maritime_sample,80,1.787567351069707,-1.5761351146238354,2.0467407554538197
synthetic_stress_test,baseline_nedt,drop_50_3,linear_regression,synthetic_profiles,3,0.3837834723753228,0.05357653261690606,0.45519286931703434
synthetic_stress_test,baseline_nedt,drop_50_3,mean_baseline,synthetic_profiles,3,11.668567327216826,-0.3760723520208747,12.68298725331405
synthetic_stress_test,baseline_nedt,drop_50_3,ridge_regression,synthetic_profiles,3,1.474751139364135,-1.0132372969750918,1.7021074903399078
synthetic_stress_test,baseline_nedt,drop_52_8,linear_regression,synthetic_profiles,3,2.929374707977748,1.1022984165373373,3.0124946562963957
synthetic_stress_test,baseline_nedt,drop_52_8,mean_baseline,synthetic_profiles,3,11.668567327216826,-0.3760723520208747,12.68298725331405
synthetic_stress_test,baseline_nedt,drop_52_8,ridge_regression,synthetic_profiles,3,1.2751018351729233,0.051976811782329456,1.3886310813427742
