profile_index,profile_id,valid_time,latitude,longitude,region_name,sample_group,frequency_ghz,tb_true_k,tb_obs_k,noise_k,nedt_k,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,min_h2o_vmr,max_h2o_vmr
5,t00_loc05,2020-01-01T00:00:00.000000000,57.0,10.25,southern_sector_west,southern_sector_west_loc01,50.3,270.6496893905928,270.63065312828707,-0.01903626230572623,0.3,277.7880859375,195.55734252929688,277.7880859375,239.17940294420396,4.650168846965128e-06,0.007036788206864974
5,t00_loc05,2020-01-01T00:00:00.000000000,57.0,10.25,southern_sector_west,southern_sector_west_loc01,52.8,259.50826264321074,260.1328691983027,0.6246065550919747,0.5,277.7880859375,195.55734252929688,277.7880859375,239.17940294420396,4.650168846965128e-06,0.007036788206864974
5,t00_loc05,2020-01-01T00:00:00.000000000,57.0,10.25,southern_sector_west,southern_sector_west_loc01,54.4,231.2232557714352,232.61486361345672,1.391607842021517,0.7,277.7880859375,195.55734252929688,277.7880859375,239.17940294420396,4.650168846965128e-06,0.007036788206864974
6,t00_loc06,2020-01-01T00:00:00.000000000,57.0,11.0,southern_sector_east,southern_sector_east_loc00,50.3,270.6531155931127,270.91790138225474,0.26478578914200374,0.3,277.9482421875,195.39620971679688,277.9482421875,239.1075072417388,4.647595233198703e-06,0.006761512857011655
6,t00_loc06,2020-01-01T00:00:00.000000000,57.0,11.0,southern_sector_east,southern_sector_east_loc00,52.8,259.3616455811308,259.5237724741115,0.16212689298075056,0.5,277.9482421875,195.39620971679688,277.9482421875,239.1075072417388,4.647595233198703e-06,0.006761512857011655
6,t00_loc06,2020-01-01T00:00:00.000000000,57.0,11.0,southern_sector_east,southern_sector_east_loc00,54.4,231.13162609235036,231.47611310787187,0.34448701552149963,0.7,277.9482421875,195.39620971679688,277.9482421875,239.1075072417388,4.647595233198703e-06,0.006761512857011655
7,t00_loc07,2020-01-01T00:00:00.000000000,57.0,10.75,southern_sector_east,southern_sector_east_loc01,50.3,270.6854317199108,270.79933241237654,0.1139006924657118,0.3,277.9443359375,195.43234252929688,277.9443359375,239.1295458819415,4.64857788572673e-06,0.006876714995531997
7,t00_loc07,2020-01-01T00:00:00.000000000,57.0,10.75,southern_sector_east,southern_sector_east_loc01,52.8,259.42577306195506,258.48197336836995,-0.9437996935851104,0.5,277.9443359375,195.43234252929688,277.9443359375,239.1295458819415,4.64857788572673e-06,0.006876714995531997
7,t00_loc07,2020-01-01T00:00:00.000000000,57.0,10.75,southern_sector_east,southern_sector_east_loc01,54.4,231.16409501678217,231.13318442099734,-0.03091059578483074,0.7,277.9443359375,195.43234252929688,277.9443359375,239.1295458819415,4.64857788572673e-06,0.006876714995531997
8,t01_loc00,2020-01-01T06:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,50.3,271.4641017831268,272.3415470004705,0.8774452173436976,0.3,278.3331298828125,193.97393798828125,278.947509765625,239.43668262378588,4.659125315392628e-06,0.0070598327594999484
8,t01_loc00,2020-01-01T06:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,52.8,260.4460682415464,260.4717530966048,0.025684855058411154,0.5,278.3331298828125,193.97393798828125,278.947509765625,239.43668262378588,4.659125315392628e-06,0.0070598327594999484
8,t01_loc00,2020-01-01T06:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,54.4,231.3103684908179,232.71970873147126,1.4093402406533753,0.7,278.3331298828125,193.97393798828125,278.947509765625,239.43668262378588,4.659125315392628e-06,0.0070598327594999484
9,t01_loc01,2020-01-01T06:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,50.3,271.4365540333757,271.686496137381,0.24994210400529665,0.3,278.2921142578125,193.91827392578125,279.187744140625,239.42876454946156,4.657627940092659e-06,0.007181265576330564
9,t01_loc01,2020-01-01T06:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,52.8,260.4266159592453,260.9855144053987,0.5588984461534311,0.5,278.2921142578125,193.91827392578125,279.187744140625,239.42876454946156,4.657627940092659e-06,0.007181265576330564
9,t01_loc01,2020-01-01T06:00:00.000000000,58.0,10.25,northern_sector_west,northern_sector_west_loc01,54.4,231.29330670789088,231.29386645378094,0.0005597458900657981,0.7,278.2921142578125,193.91827392578125,279.187744140625,239.42876454946156,4.657627940092659e-06,0.007181265576330564
10,t01_loc02,2020-01-01T06:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,50.3,271.36465354444005,271.4402132123471,0.07555966790704735,0.3,278.2315673828125,193.14093017578125,279.410400390625,239.37259900892104,4.65140447403205e-06,0.007498469261351906
10,t01_loc02,2020-01-01T06:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,52.8,260.3391611252543,260.40720318080577,0.06804205555144459,0.5,278.2315673828125,193.14093017578125,279.410400390625,239.37259900892104,4.65140447403205e-06,0.007498469261351906
10,t01_loc02,2020-01-01T06:00:00.000000000,58.0,11.0,northern_sector_east,northern_sector_east_loc00,54.4,231.248838687736,232.11584668369954,0.8670079959635596,0.7,278.2315673828125,193.14093017578125,279.410400390625,239.37259900892104,4.65140447403205e-06,0.007498469261351906
11,t01_loc03,2020-01-01T06:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,50.3,271.39264161685304,271.3004102653928,-0.09223135146022587,0.3,278.2432861328125,193.49151611328125,279.468994140625,239.4072537808805,4.653790915899219e-06,0.007410258657575427
11,t01_loc03,2020-01-01T06:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,52.8,260.38112138554607,259.96179293569,-0.41932844985603224,0.5,278.2432861328125,193.49151611328125,279.468994140625,239.4072537808805,4.653790915899219e-06,0.007410258657575427
11,t01_loc03,2020-01-01T06:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,54.4,231.26499408242267,231.35294059440275,0.0879465119800833,0.7,278.2432861328125,193.49151611328125,279.468994140625,239.4072537808805,4.653790915899219e-06,0.007410258657575427
12,t01_loc04,2020-01-01T06:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,50.3,270.88898480666575,270.4899044964962,-0.39908031016954487,0.3,277.5225830078125,194.73858642578125,278.6448974609375,239.92348583324537,4.662213651957621e-06,0.007232319219456375
12,t01_loc04,2020-01-01T06:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,52.8,260.20050504900263,260.66968642455004,0.4691813755474278,0.5,277.5225830078125,194.73858642578125,278.6448974609375,239.92348583324537,4.662213651957621e-06,0.007232319219456375
12,t01_loc04,2020-01-01T06:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,54.4,231.49703246636142,231.0932471505375,-0.4037853158239034,0.7,277.5225830078125,194.73858642578125,278.6448974609375,239.92348583324537,4.662213651957621e-06,0.007232319219456375
13,t01_loc05,2020-01-01T06:00:00.000000000,57.0,10.25,southern_sector_west,southern_sector_west_loc01,50.3,270.82564465567987,271.30380467391234,0.47816001823248666,0.3,277.4346923828125,194.63116455078125,278.8167724609375,239.95014293773755,4.660435518782388e-06,0.007240828473802536
13,t01_loc05,2020-01-01T06:00:00.000000000,57.0,10.25,southern_sector_west,southern_sector_west_loc01,52.8,260.1604510495389,260.42423378771184,0.2637827381729394,0.5,277.4346923828125,194.63116455078125,278.8167724609375,239.95014293773755,4.660435518782388e-06,0.007240828473802536
13,t01_loc05,2020-01-01T06:00:00.000000000,57.0,10.25,southern_sector_west,southern_sector_west_loc01,54.4,231.46586833719306,231.4243531175597,-0.04151521963335882,0.7,277.4346923828125,194.63116455078125,278.8167724609375,239.95014293773755,4.660435518782388e-06,0.007240828473802536
