profile_index,profile_id,valid_time,latitude,longitude,region_name,source_name,climate_regime,surface_type,season_label,sample_group,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,lower_layer_mean_temperature_k,upper_layer_mean_temperature_k,mean_h2o_vmr,lower_layer_mean_h2o_vmr,upper_layer_mean_h2o_vmr,min_h2o_vmr,max_h2o_vmr,evaluation_split,profile_class,noise_case,feature_case,model_name,target_name,y_true_k,y_pred_k,residual_k,tb_obs_50_3,tb_obs_52_8,tb_obs_54_4,tb_obs_degraded_50_3,tb_obs_degraded_52_8,tb_obs_degraded_54_4
10,winter_midlatitude_maritime_sample_t00_loc10,2020-01-01T00:00:00.000000000,57.0,10.0,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc00,277.7451171875,195.64035034179688,277.7451171875,239.19035628035263,274.11968994140625,211.65974511040585,0.0013137677672254,0.0033010884025451,1.1503864472581016e-05,4.651572636295742e-06,0.0071922519897452,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,274.11968994140625,277.28973990404455,3.170049962638302,270.71972992299726,259.60874571000767,232.1076019868265,,,
11,winter_midlatitude_maritime_sample_t00_loc11,2020-01-01T00:00:00.000000000,57.0,10.25,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc01,277.7880859375,195.55734252929688,277.7880859375,239.179402944204,274.01291910807294,211.72577158610025,0.0013170069647673,0.003290835429179,1.1012432238597943e-05,4.650168846965128e-06,0.0070367882068649,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,274.01291910807294,277.29018664393294,3.2772675358600054,270.5574580391326,259.0889341933547,231.31120228341527,,,
12,winter_midlatitude_maritime_sample_t00_loc12,2020-01-01T00:00:00.000000000,57.25,10.0,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc02,278.1005859375,195.71456909179688,278.1005859375,239.1277243124472,274.32395426432294,211.4419174194336,0.0013392180731567,0.0033340864321455,1.2193314219528613e-05,4.6558775902582425e-06,0.0076766245720493,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,274.32395426432294,277.28888524160556,2.96493097728262,270.4855150419656,260.1048492839173,230.7563505213708,,,
13,winter_midlatitude_maritime_sample_t00_loc13,2020-01-01T00:00:00.000000000,57.25,10.25,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc03,278.0556640625,195.58468627929688,278.0556640625,239.1051314070418,274.17974853515625,211.49421776665585,0.0013416782607599,0.0033246379805898,1.1672685561356129e-05,4.65419304305278e-06,0.0074908882841707,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,274.17974853515625,277.2894886128573,3.109740077701076,271.30828993784706,259.84326151079574,231.10998764085372,,,
14,winter_midlatitude_maritime_sample_t00_loc14,2020-01-01T00:00:00.000000000,57.0,10.5,southern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_west_loc04,277.8740234375,195.48800659179688,277.8740234375,239.15747029072529,273.86887613932294,211.8021062215169,0.0013217712742953,0.0032797985422912,1.057880919050207e-05,4.649186194435157e-06,0.0069416684144561,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,273.86887613932294,277.2907893341788,3.421913194855847,270.4194323620509,259.57954657753896,230.5714809649469,,,
15,winter_midlatitude_maritime_sample_t00_loc15,2020-01-01T00:00:00.000000000,57.0,11.0,southern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_east_loc00,277.9482421875,195.39620971679688,277.9482421875,239.1075072417388,273.5599568684896,211.9647038777669,0.0013339895071591,0.0032971004797122,1.0172923160007654e-05,4.647595233198703e-06,0.0067615128570116,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,273.5599568684896,277.2920818834291,3.73212501493947,270.96118217528544,258.3800445890546,230.623549189162,,,
16,winter_midlatitude_maritime_sample_t00_loc16,2020-01-01T00:00:00.000000000,57.0,10.75,southern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_east_loc01,277.9443359375,195.43234252929688,277.9443359375,239.1295458819415,273.7044881184896,211.88354068332248,0.0013299096111686,0.0032922728349955,1.0433131805012732e-05,4.64857788572673e-06,0.0068767149955319,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,273.7044881184896,277.2914771501655,3.5869890316758983,270.4910387453796,259.44194553503627,231.83965531655,,,
17,winter_midlatitude_maritime_sample_t00_loc17,2020-01-01T00:00:00.000000000,57.25,11.0,southern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_east_loc02,278.1611328125,195.24191284179688,278.1611328125,238.9946746826172,273.65354410807294,211.6797103881836,0.0013528340809406,0.0033395236539836,1.0384934333220157e-05,4.649373366345535e-06,0.0070043070177859,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,273.65354410807294,277.29169030502084,3.6381461969479005,270.79777784357475,259.87549647002623,230.13142218364385,,,
18,winter_midlatitude_maritime_sample_t00_loc18,2020-01-01T00:00:00.000000000,57.25,10.75,southern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_east_loc03,278.1474609375,195.34835815429688,278.1474609375,239.0354263718064,273.83599853515625,211.61645083957248,0.0013511034767867,0.0033392460378303,1.0703756805380877e-05,4.650589983764055e-06,0.0071473887211776,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,273.83599853515625,277.29092689737615,3.4549283622199027,270.6665261038817,259.7276627125962,231.1890475832732,,,
19,winter_midlatitude_maritime_sample_t00_loc19,2020-01-01T00:00:00.000000000,57.25,10.5,southern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,southern_sector_east_loc04,278.0810546875,195.46456909179688,278.0810546875,239.0742777231577,274.01731363932294,211.5535168117947,0.0013490426015472,0.0033336143233785,1.1116143861080477e-05,4.652180945006436e-06,0.0073044210671681,era5_leave_one_profile_out,ERA5,baseline_nedt,full_3channel,mean_baseline,lower_layer_mean_temperature_k,274.01731363932294,277.2901682567729,3.2728546174499797,270.5698224967381,260.42857287095427,230.5497940217407,,,
