target_name,setup_type,group_name,model_name,channel_combination,n_channels,n_samples,rmse_k,mae_k,bias_k,target_std_k,normalized_rmse,rmse_reduction_vs_baseline_pct
lower_layer_mean_temperature_k,global,all_era5,mean_baseline,50.3+52.8+54.4,3,240,14.51978531861896,11.904808138337925,-3.647452710235181e-14,14.459286213124718,1.0041841004184098,0.0
lower_layer_mean_temperature_k,global,all_era5,linear_regression,50.3+52.8+54.4,3,240,1.3579228821532818,1.06715405201456,-0.00041729361354327923,14.459286213124718,0.093913548852826,90.64777576007275
lower_layer_mean_temperature_k,global,all_era5,ridge_regression,50.3+52.8+54.4,3,240,1.4128312631705808,1.1125054460416075,-7.529353683691417e-05,14.459286213124718,0.09771099640369187,90.26961327479901
lower_layer_mean_temperature_k,source_name,high_latitude_continental_2020,mean_baseline,50.3+52.8+54.4,3,60,1.9628582456336663,1.6880731119274397,-1.3737159558028604e-14,1.9301439415397743,1.0169491525423715,0.0
lower_layer_mean_temperature_k,source_name,high_latitude_continental_2020,linear_regression,50.3+52.8+54.4,3,60,0.9138110705018708,0.6781272748199962,0.0016885720206862706,1.9301439415397743,0.47344192877805635,53.444877003491065
lower_layer_mean_temperature_k,source_name,high_latitude_continental_2020,ridge_regression,50.3+52.8+54.4,3,60,0.9117330337340087,0.6810205984880511,0.001083995059343105,1.9301439415397743,0.47236530608524085,53.55074490161793
lower_layer_mean_temperature_k,source_name,lower_latitude_maritime_2020,mean_baseline,50.3+52.8+54.4,3,100,0.440528023832331,0.33445630930890957,-6.8212102632969615e-15,0.43612274359400777,1.01010101010101,0.0
lower_layer_mean_temperature_k,source_name,lower_latitude_maritime_2020,linear_regression,50.3+52.8+54.4,3,100,0.21956891776414394,0.1766306708496677,0.0006778649974955897,0.43612274359400777,0.503456701099137,50.15778659118541
lower_layer_mean_temperature_k,source_name,lower_latitude_maritime_2020,ridge_regression,50.3+52.8+54.4,3,100,0.21950123457822984,0.17652293077781678,0.0006778750666694577,0.43612274359400777,0.5033015081244337,50.173150695681045
lower_layer_mean_temperature_k,source_name,winter_midlatitude_maritime_sample,mean_baseline,50.3+52.8+54.4,3,80,1.3913005148696294,1.1542713149187371,-7.105427357601002e-16,1.3739092584337618,1.0126582278480991,0.0
lower_layer_mean_temperature_k,source_name,winter_midlatitude_maritime_sample,linear_regression,50.3+52.8+54.4,3,80,1.0498487730535708,0.8491546234123952,0.003414762822193751,1.3739092584337618,0.7641325412206512,24.541911554460537
lower_layer_mean_temperature_k,source_name,winter_midlatitude_maritime_sample,ridge_regression,50.3+52.8+54.4,3,80,1.0493921062936258,0.8491350301879799,0.0033759859781959277,1.3739092584337618,0.7638001562708142,24.57473456825694
lower_layer_mean_temperature_k,source_name_pooled,all_sources_pooled,mean_baseline,50.3+52.8+54.4,3,240,1.2997317244650368,0.9461321785001513,-6.5133084111342514e-15,14.459286213124718,0.08988906542878086,0.0
lower_layer_mean_temperature_k,source_name_pooled,all_sources_pooled,linear_regression,50.3+52.8+54.4,3,240,0.7721687181290253,0.5261794726964923,0.001842841028192647,14.459286213124718,0.05340296241097479,40.59014613597694
lower_layer_mean_temperature_k,source_name_pooled,all_sources_pooled,ridge_regression,50.3+52.8+54.4,3,240,0.7713392306738208,0.5268513808420964,0.0016787753686800264,14.459286213124718,0.05334559530149385,40.65396603354433
upper_layer_mean_temperature_k,global,all_era5,mean_baseline,50.3+52.8+54.4,3,240,6.697328834001193,6.314122417112401,-2.2500519965736505e-15,6.669423297192855,1.00418410041841,0.0
upper_layer_mean_temperature_k,global,all_era5,linear_regression,50.3+52.8+54.4,3,240,3.2003181843482653,2.5508266082721094,0.0034760328717705845,6.669423297192855,0.4798493125627926,52.21500595728856
upper_layer_mean_temperature_k,global,all_era5,ridge_regression,50.3+52.8+54.4,3,240,3.279741745816871,2.6910425166357475,0.0011691401419835045,6.669423297192855,0.49175792263737506,51.02910687069473
upper_layer_mean_temperature_k,source_name,high_latitude_continental_2020,mean_baseline,50.3+52.8+54.4,3,60,3.441336887472731,2.945238542287361,9.473903143468002e-16,3.3839812726815155,1.016949152542374,0.0
upper_layer_mean_temperature_k,source_name,high_latitude_continental_2020,linear_regression,50.3+52.8+54.4,3,60,3.1708043530377514,2.56860389876997,0.0044941710117375544,3.3839812726815155,0.9370041077458919,7.861262738320718
upper_layer_mean_temperature_k,source_name,high_latitude_continental_2020,ridge_regression,50.3+52.8+54.4,3,60,3.1455341369272856,2.5797906322725392,0.0009442080795456794,3.3839812726815155,0.929536508467353,8.595576667377047
upper_layer_mean_temperature_k,source_name,lower_latitude_maritime_2020,mean_baseline,50.3+52.8+54.4,3,100,0.32733466425554114,0.2681760367961877,7.105427357601002e-15,0.324061317612984,1.0101010101010155,0.0
upper_layer_mean_temperature_k,source_name,lower_latitude_maritime_2020,linear_regression,50.3+52.8+54.4,3,100,0.3014359274047556,0.24900237202450795,0.0005939602054536408,0.324061317612984,0.9301817619736732,7.912005564606838
upper_layer_mean_temperature_k,source_name,lower_latitude_maritime_2020,ridge_regression,50.3+52.8+54.4,3,100,0.30131347620421417,0.24890013380980605,0.0005854758615410561,0.324061317612984,0.9298038976810652,7.949414129575027
upper_layer_mean_temperature_k,source_name,winter_midlatitude_maritime_sample,mean_baseline,50.3+52.8+54.4,3,80,0.7218569347110927,0.5922586304225949,2.5224267119483555e-14,0.7128337230272038,1.0126582278481016,0.0
upper_layer_mean_temperature_k,source_name,winter_midlatitude_maritime_sample,linear_regression,50.3+52.8+54.4,3,80,0.6974385971951031,0.5700286911723047,-0.0018202236809628403,0.7128337230272038,0.9784029215583097,3.3827114961169524
upper_layer_mean_temperature_k,source_name,winter_midlatitude_maritime_sample,ridge_regression,50.3+52.8+54.4,3,80,0.6969341616116023,0.5699104937065573,-0.001786651755535118,0.7128337230272038,0.9776952732425724,3.4525917672959983
upper_layer_mean_temperature_k,source_name_pooled,all_sources_pooled,mean_baseline,50.3+52.8+54.4,3,240,1.7829855198542681,1.0454691943777834,1.1605531350748303e-14,6.669423297192855,0.2673372854598572,0.0
upper_layer_mean_temperature_k,source_name_pooled,all_sources_pooled,linear_regression,50.3+52.8+54.4,3,240,1.6472705003229633,0.935911526760139,0.0007642849448857921,6.669423297192855,0.24698844666469072,7.61167255819315
upper_layer_mean_temperature_k,source_name_pooled,all_sources_pooled,ridge_regression,50.3+52.8+54.4,3,240,1.635032440476362,0.9386262117244064,-0.00011555028964984614,6.669423297192855,0.24515349642967532,8.298052773305697
lower_layer_mean_temperature_k,global,all_era5,mean_baseline,50.3+52.8,2,240,14.51978531861896,11.904808138337925,-3.647452710235181e-14,14.459286213124718,1.0041841004184098,0.0
lower_layer_mean_temperature_k,global,all_era5,linear_regression,50.3+52.8,2,240,1.6341822308960974,1.3582732063127132,0.005013941780011303,14.459286213124718,0.11301956450746146,88.74513503446529
lower_layer_mean_temperature_k,global,all_era5,ridge_regression,50.3+52.8,2,240,1.635346872029542,1.352418166464166,0.004161414743040955,14.459286213124718,0.11310011074717748,88.73711397142691
lower_layer_mean_temperature_k,source_name,high_latitude_continental_2020,mean_baseline,50.3+52.8,2,60,1.9628582456336663,1.6880731119274397,-1.3737159558028604e-14,1.9301439415397743,1.0169491525423715,0.0
