evaluation_split,noise_case,feature_case,model_name,source_name,count,mae_k,bias_k,rmse_k,lower_layer_temperature_std,lower_layer_temperature_range,mean_baseline_rmse_k,target_std_k,target_range_k,normalized_rmse,rmse_reduction_vs_baseline_pct
era5_leave_one_profile_out,baseline_nedt,drop_50_3,linear_regression,high_latitude_continental_2020,60,1.385034166368663,0.6681382797255211,1.6573021600166562,1.9301439415397743,6.587151845296262,22.461934186294627,1.9301439415397743,6.587151845296262,0.8586417439388182,92.6217299620267
era5_leave_one_profile_out,baseline_nedt,drop_50_3,linear_regression,lower_latitude_maritime_2020,100,0.7372475307937384,0.31999815371929347,0.9546137005283022,0.43612274359400777,2.0858866373698106,14.178790901112688,0.43612274359400777,2.0858866373698106,2.1888647509219656,93.26731237391061
era5_leave_one_profile_out,baseline_nedt,drop_50_3,linear_regression,winter_midlatitude_maritime_sample,80,1.2894772049291987,-0.9010585704071901,1.5361821657423507,1.3739092584337618,4.448081970214787,1.664629773381927,1.3739092584337618,4.448081970214787,1.1181103528580758,7.7162868100464905
era5_leave_one_profile_out,baseline_nedt,drop_50_3,mean_baseline,high_latitude_continental_2020,60,22.378154329009917,22.378154329009917,22.461934186294627,1.9301439415397743,6.587151845296262,22.461934186294627,1.9301439415397743,6.587151845296262,11.63743993537373,0.0
era5_leave_one_profile_out,baseline_nedt,drop_50_3,mean_baseline,lower_latitude_maritime_2020,100,14.172025733213582,-14.172025733213582,14.178790901112688,0.43612274359400777,2.0858866373698106,14.178790901112688,0.43612274359400777,2.0858866373698106,32.51101005250922,0.0
era5_leave_one_profile_out,baseline_nedt,drop_50_3,mean_baseline,winter_midlatitude_maritime_sample,80,1.2157765017393616,0.9314164197594295,1.664629773381927,1.3739092584337618,4.448081970214787,1.664629773381927,1.3739092584337618,4.448081970214787,1.2116009577514477,0.0
era5_leave_one_profile_out,baseline_nedt,drop_50_3,ridge_regression,high_latitude_continental_2020,60,1.4020674555106847,1.1149063076529737,1.6582975590088789,1.9301439415397743,6.587151845296262,22.461934186294627,1.9301439415397743,6.587151845296262,0.8591574562495947,92.61729846924445
era5_leave_one_profile_out,baseline_nedt,drop_50_3,ridge_regression,lower_latitude_maritime_2020,100,0.6647837301275052,0.4752858040355142,0.8463111817495581,0.43612274359400777,2.0858866373698106,14.178790901112688,0.43612274359400777,2.0858866373698106,1.9405343889549589,94.03114703043443
era5_leave_one_profile_out,baseline_nedt,drop_50_3,ridge_regression,winter_midlatitude_maritime_sample,80,1.5864351765216633,-1.4284572286978026,1.8175976913974066,1.3739092584337618,4.448081970214787,1.664629773381927,1.3739092584337618,4.448081970214787,1.3229386731620425,-9.189305661925285
era5_leave_one_profile_out,baseline_nedt,drop_52_8,linear_regression,high_latitude_continental_2020,60,1.8737177789474126,0.8656521766062364,2.2959038488425128,1.9301439415397743,6.587151845296262,22.461934186294627,1.9301439415397743,6.587151845296262,1.189498772309672,89.77869033984001
era5_leave_one_profile_out,baseline_nedt,drop_52_8,linear_regression,lower_latitude_maritime_2020,100,0.5111104428600458,0.41289174662933076,0.6553992142384125,0.43612274359400777,2.0858866373698106,14.178790901112688,0.43612274359400777,2.0858866373698106,1.5027861396023225,95.37760857883178
era5_leave_one_profile_out,baseline_nedt,drop_52_8,linear_regression,winter_midlatitude_maritime_sample,80,1.5965651820799998,-1.1694467670839508,1.7989575343853519,1.3739092584337618,4.448081970214787,1.664629773381927,1.3739092584337618,4.448081970214787,1.3093714328966233,-8.069527720300185
era5_leave_one_profile_out,baseline_nedt,drop_52_8,mean_baseline,high_latitude_continental_2020,60,22.378154329009917,22.378154329009917,22.461934186294627,1.9301439415397743,6.587151845296262,22.461934186294627,1.9301439415397743,6.587151845296262,11.63743993537373,0.0
era5_leave_one_profile_out,baseline_nedt,drop_52_8,mean_baseline,lower_latitude_maritime_2020,100,14.172025733213582,-14.172025733213582,14.178790901112688,0.43612274359400777,2.0858866373698106,14.178790901112688,0.43612274359400777,2.0858866373698106,32.51101005250922,0.0
era5_leave_one_profile_out,baseline_nedt,drop_52_8,mean_baseline,winter_midlatitude_maritime_sample,80,1.2157765017393616,0.9314164197594295,1.664629773381927,1.3739092584337618,4.448081970214787,1.664629773381927,1.3739092584337618,4.448081970214787,1.2116009577514477,0.0
era5_leave_one_profile_out,baseline_nedt,drop_52_8,ridge_regression,high_latitude_continental_2020,60,1.8166596518455596,1.2319497827292594,2.150675264915564,1.9301439415397743,6.587151845296262,22.461934186294627,1.9301439415397743,6.587151845296262,1.1142564130216426,90.42524456229678
era5_leave_one_profile_out,baseline_nedt,drop_52_8,ridge_regression,lower_latitude_maritime_2020,100,0.5478117991509339,0.5312629932163975,0.6318231438740749,0.43612274359400777,2.0858866373698106,14.178790901112688,0.43612274359400777,2.0858866373698106,1.4487278023322883,95.54388559447271
era5_leave_one_profile_out,baseline_nedt,drop_52_8,ridge_regression,winter_midlatitude_maritime_sample,80,1.8103952832119,-1.5881212007575534,2.051643360890828,1.3739092584337618,4.448081970214787,1.664629773381927,1.3739092584337618,4.448081970214787,1.4932888386163685,-23.24922896955215
era5_leave_one_profile_out,baseline_nedt,drop_54_4,linear_regression,high_latitude_continental_2020,60,1.5212932424935237,1.3178155173862498,1.7200603152762153,1.9301439415397743,6.587151845296262,22.461934186294627,1.9301439415397743,6.587151845296262,0.8911564978433865,92.34233213840628
era5_leave_one_profile_out,baseline_nedt,drop_54_4,linear_regression,lower_latitude_maritime_2020,100,0.7804227113038575,0.760483048969702,0.8719653889366524,0.43612274359400777,2.0858866373698106,14.178790901112688,0.43612274359400777,2.0858866373698106,1.9993577536244616,93.85021335727419
era5_leave_one_profile_out,baseline_nedt,drop_54_4,linear_regression,winter_midlatitude_maritime_sample,80,1.9583212979381748,-1.9239236239117807,2.200521421347505,1.3739092584337618,4.448081970214787,1.664629773381927,1.3739092584337618,4.448081970214787,1.6016497507674343,-32.19284290925781
era5_leave_one_profile_out,baseline_nedt,drop_54_4,mean_baseline,high_latitude_continental_2020,60,22.378154329009917,22.378154329009917,22.461934186294627,1.9301439415397743,6.587151845296262,22.461934186294627,1.9301439415397743,6.587151845296262,11.63743993537373,0.0
era5_leave_one_profile_out,baseline_nedt,drop_54_4,mean_baseline,lower_latitude_maritime_2020,100,14.172025733213582,-14.172025733213582,14.178790901112688,0.43612274359400777,2.0858866373698106,14.178790901112688,0.43612274359400777,2.0858866373698106,32.51101005250922,0.0
era5_leave_one_profile_out,baseline_nedt,drop_54_4,mean_baseline,winter_midlatitude_maritime_sample,80,1.2157765017393616,0.9314164197594295,1.664629773381927,1.3739092584337618,4.448081970214787,1.664629773381927,1.3739092584337618,4.448081970214787,1.2116009577514477,0.0
era5_leave_one_profile_out,baseline_nedt,drop_54_4,ridge_regression,high_latitude_continental_2020,60,1.5930850080163543,1.3522739269811557,1.7876893913724998,1.9301439415397743,6.587151845296262,22.461934186294627,1.9301439415397743,6.587151845296262,0.9261948567143489,92.04124909036874
era5_leave_one_profile_out,baseline_nedt,drop_54_4,ridge_regression,lower_latitude_maritime_2020,100,0.734061812991419,0.723435453361729,0.7981140757527501,0.43612274359400777,2.0858866373698106,14.178790901112688,0.43612274359400777,2.0858866373698106,1.8300216796208286,94.37107097975387
era5_leave_one_profile_out,baseline_nedt,drop_54_4,ridge_regression,winter_midlatitude_maritime_sample,80,1.944863477140958,-1.906015517708905,2.197719399322342,1.3739092584337618,4.448081970214787,1.664629773381927,1.3739092584337618,4.448081970214787,1.5996102987381517,-32.02451586921753
