profile_index,profile_id,valid_time,latitude,longitude,region_name,source_name,climate_regime,surface_type,season_label,sample_group,frequency_ghz,tb_base_k,dTb_lower_k,dTb_upper_k,nedt_k,lower_ratio,upper_ratio,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,lower_layer_mean_temperature_k,upper_layer_mean_temperature_k,mean_h2o_vmr,lower_layer_mean_h2o_vmr,upper_layer_mean_h2o_vmr,min_h2o_vmr,max_h2o_vmr
3,winter_midlatitude_maritime_sample_t00_loc03,2020-01-01T00:00:00.000000000,57.75,10.25,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc03,52.8,259.66918103618394,0.251129073002744,0.185628722161141,0.5,0.502258146005488,0.371257444322282,278.4111328125,195.85519409179688,278.4111328125,238.92209233464422,274.80898030598956,210.84143998887805,0.0012963164425421252,0.00308576791772963,1.2985441780542348e-05,4.656860242796393e-06,0.007819825449653378
3,winter_midlatitude_maritime_sample_t00_loc03,2020-01-01T00:00:00.000000000,57.75,10.25,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc03,54.4,230.9626077631522,0.10102809537255553,0.4906486434465194,0.7,0.1443258505322222,0.7009266334950277,278.4111328125,195.85519409179688,278.4111328125,238.92209233464422,274.80898030598956,210.84143998887805,0.0012963164425421252,0.00308576791772963,1.2985441780542348e-05,4.656860242796393e-06,0.007819825449653378
4,winter_midlatitude_maritime_sample_t00_loc04,2020-01-01T00:00:00.000000000,58.0,10.5,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc04,50.3,270.92842129138273,0.14552220227574253,0.09186889816538724,0.3,0.48507400758580843,0.3062296605512908,278.2451171875,196.02902221679688,278.2451171875,238.62165420119828,274.80458577473956,210.28756629096137,0.0013081754247184804,0.0030728454430426944,1.3298612412529624e-05,4.6466125806718776e-06,0.007292043024855295
4,winter_midlatitude_maritime_sample_t00_loc04,2020-01-01T00:00:00.000000000,58.0,10.5,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc04,52.8,259.542116434592,0.2509521004637918,0.18559631378883523,0.5,0.5019042009275836,0.37119262757767046,278.2451171875,196.02902221679688,278.2451171875,238.62165420119828,274.80458577473956,210.28756629096137,0.0013081754247184804,0.0030728454430426944,1.3298612412529624e-05,4.6466125806718776e-06,0.007292043024855295
4,winter_midlatitude_maritime_sample_t00_loc04,2020-01-01T00:00:00.000000000,58.0,10.5,northern_sector_west,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_west_loc04,54.4,230.86308571824563,0.10104683996968333,0.49055247908015076,0.7,0.14435262852811906,0.7007892558287868,278.2451171875,196.02902221679688,278.2451171875,238.62165420119828,274.80458577473956,210.28756629096137,0.0013081754247184804,0.0030728454430426944,1.3298612412529624e-05,4.6466125806718776e-06,0.007292043024855295
5,winter_midlatitude_maritime_sample_t00_loc05,2020-01-01T00:00:00.000000000,58.0,11.0,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc00,50.3,270.82359603362175,0.1481144969712318,0.09165767097232447,0.3,0.493714989904106,0.30552556990774826,278.2158203125,195.20675659179688,278.2158203125,238.3873583819415,274.10699462890625,210.2410168117947,0.0013613843410022618,0.003294881936247492,1.1950106785792005e-05,4.640716665536151e-06,0.007025960998650036
5,winter_midlatitude_maritime_sample_t00_loc05,2020-01-01T00:00:00.000000000,58.0,11.0,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc00,52.8,259.396264826255,0.2525372744464107,0.1852671531094643,0.5,0.5050745488928214,0.3705343062189286,278.2158203125,195.20675659179688,278.2158203125,238.3873583819415,274.10699462890625,210.2410168117947,0.0013613843410022618,0.003294881936247492,1.1950106785792005e-05,4.640716665536151e-06,0.007025960998650036
5,winter_midlatitude_maritime_sample_t00_loc05,2020-01-01T00:00:00.000000000,58.0,11.0,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc00,54.4,230.85703210835194,0.10117756289224644,0.4904661351448283,0.7,0.14453937556035207,0.7006659073497548,278.2158203125,195.20675659179688,278.2158203125,238.3873583819415,274.10699462890625,210.2410168117947,0.0013613843410022618,0.003294881936247492,1.1950106785792005e-05,4.640716665536151e-06,0.007025960998650036
6,winter_midlatitude_maritime_sample_t00_loc06,2020-01-01T00:00:00.000000000,58.0,10.75,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc01,50.3,270.84832559858273,0.14677699198199434,0.09173833446061508,0.3,0.48925663993998114,0.30579444820205026,278.1865234375,195.66867065429688,278.1865234375,238.49892404917125,274.45871988932294,210.24714745415582,0.0013364625590213878,0.0031906574711040303,1.2620634924246438e-05,4.643711416075878e-06,0.007168273036108604
6,winter_midlatitude_maritime_sample_t00_loc06,2020-01-01T00:00:00.000000000,58.0,10.75,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc01,52.8,259.45931671809524,0.25171195339873975,0.18540722891924588,0.5,0.5034239067974795,0.37081445783849176,278.1865234375,195.66867065429688,278.1865234375,238.49892404917125,274.45871988932294,210.24714745415582,0.0013364625590213878,0.0031906574711040303,1.2620634924246438e-05,4.643711416075878e-06,0.007168273036108604
6,winter_midlatitude_maritime_sample_t00_loc06,2020-01-01T00:00:00.000000000,58.0,10.75,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc01,54.4,230.86224957405005,0.10110671777965763,0.4904967040828012,0.7,0.14443816825665376,0.7007095772611447,278.1865234375,195.66867065429688,278.1865234375,238.49892404917125,274.45871988932294,210.24714745415582,0.0013364625590213878,0.0031906574711040303,1.2620634924246438e-05,4.643711416075878e-06,0.007168273036108604
7,winter_midlatitude_maritime_sample_t00_loc07,2020-01-01T00:00:00.000000000,57.75,11.0,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc02,50.3,270.93289206657374,0.14875915014795282,0.09161758107921969,0.3,0.49586383382650945,0.3053919369307323,278.3623046875,195.12570190429688,278.3623046875,238.6355900120091,273.94049072265625,210.80709754096137,0.0013626669897789225,0.0033221694477972336,1.1235653935096528e-05,4.6472208893788186e-06,0.007294363893336795
7,winter_midlatitude_maritime_sample_t00_loc07,2020-01-01T00:00:00.000000000,57.75,11.0,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc02,52.8,259.46695710083395,0.25295933435671714,0.1851900820448691,0.5,0.5059186687134343,0.3703801640897382,278.3623046875,195.12570190429688,278.3623046875,238.6355900120091,273.94049072265625,210.80709754096137,0.0013626669897789225,0.0033221694477972336,1.1235653935096528e-05,4.6472208893788186e-06,0.007294363893336795
7,winter_midlatitude_maritime_sample_t00_loc07,2020-01-01T00:00:00.000000000,57.75,11.0,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc02,54.4,230.94854186311966,0.10115986857320536,0.4905647894744334,0.7,0.14451409796172196,0.7008068421063335,278.3623046875,195.12570190429688,278.3623046875,238.6355900120091,273.94049072265625,210.80709754096137,0.0013626669897789225,0.0033221694477972336,1.1235653935096528e-05,4.6472208893788186e-06,0.007294363893336795
8,winter_midlatitude_maritime_sample_t00_loc08,2020-01-01T00:00:00.000000000,57.75,10.75,northern_sector_east,winter_midlatitude_maritime_sample,midlatitude,maritime,winter,northern_sector_east_loc03,50.3,270.92438069717633,0.14771856085542368,0.09166341762210095,0.3,0.49239520285141225,0.30554472540700317,278.2900390625,195.42062377929688,278.2900390625,238.72580327214422,274.22271728515625,210.80281151665582,0.0013487938845508072,0.003262054981769603,1.1892884546418055e-05,4.650449604831054e-06,0.0074963049878814
