target_name,noise_factor,setup_type,group_name,model_name,n_samples,rmse_k,mae_k,bias_k,target_std_k,normalized_rmse,rmse_reduction_vs_baseline_pct
lower_layer_mean_temperature_k,0.5,global,all_era5,mean_baseline,240,14.51978531861896,11.904808138337925,-3.647452710235181e-14,14.459286213124718,1.0041841004184098,0.0
lower_layer_mean_temperature_k,0.5,global,all_era5,linear_regression,240,0.965705128052925,0.766106569125096,-0.0005509117406576299,14.459286213124718,0.06678788384286583,93.34903990064795
lower_layer_mean_temperature_k,0.5,global,all_era5,ridge_regression,240,1.2702000551956645,0.9824577939324012,-0.0008212860696461395,14.459286213124718,0.08784666383066003,91.2519363935301
lower_layer_mean_temperature_k,0.5,source_name,high_latitude_continental_2020,mean_baseline,60,1.9628582456336663,1.6880731119274397,-1.3737159558028604e-14,1.9301439415397743,1.0169491525423715,0.0
lower_layer_mean_temperature_k,0.5,source_name,high_latitude_continental_2020,linear_regression,60,0.7981207664300816,0.6112835205648134,-0.003920466054336676,1.9301439415397743,0.41350323634069486,59.338848426498295
lower_layer_mean_temperature_k,0.5,source_name,high_latitude_continental_2020,ridge_regression,60,0.8126422395768884,0.6028761207800917,-0.0032905178823057213,1.9301439415397743,0.4210267545790405,58.59903579972763
lower_layer_mean_temperature_k,0.5,source_name,lower_latitude_maritime_2020,mean_baseline,100,0.440528023832331,0.33445630930890957,-6.8212102632969615e-15,0.43612274359400777,1.01010101010101,0.0
lower_layer_mean_temperature_k,0.5,source_name,lower_latitude_maritime_2020,linear_regression,100,0.1543612496216085,0.12395085774566951,0.0003895682440577275,0.43612274359400777,0.35393992147610936,64.95994777386515
lower_layer_mean_temperature_k,0.5,source_name,lower_latitude_maritime_2020,ridge_regression,100,0.15429415052123077,0.12386337523160705,0.00039735047170665896,0.43612274359400777,0.35378606777009813,64.97517929076028
lower_layer_mean_temperature_k,0.5,source_name,winter_midlatitude_maritime_sample,mean_baseline,80,1.3913005148696294,1.1542713149187371,-7.105427357601002e-16,1.3739092584337618,1.0126582278480991,0.0
lower_layer_mean_temperature_k,0.5,source_name,winter_midlatitude_maritime_sample,linear_regression,80,0.7428126188265958,0.6029966438617442,0.0030959451623466805,1.3739092584337618,0.5406562436833654,46.61019593626756
lower_layer_mean_temperature_k,0.5,source_name,winter_midlatitude_maritime_sample,ridge_regression,80,0.7425338296700064,0.6010059572800828,0.003037194491710693,1.3739092584337618,0.5404533269660654,46.63023396210093
lower_layer_mean_temperature_k,0.5,source_name_pooled,all_sources_pooled,mean_baseline,240,1.2997317244650368,0.9461321785001513,-6.5133084111342514e-15,14.459286213124718,0.08988906542878086,0.0
lower_layer_mean_temperature_k,0.5,source_name_pooled,all_sources_pooled,linear_regression,240,0.5942228536147477,0.40546595215581377,0.00021418530888877758,14.459286213124718,0.0410962785338166,54.281114907822456
lower_layer_mean_temperature_k,0.5,source_name_pooled,all_sources_pooled,ridge_regression,240,0.5990006681880378,0.4026640889682201,0.00035533138987157525,14.459286213124718,0.04142671079049005,53.913514849798446
upper_layer_mean_temperature_k,0.5,global,all_era5,mean_baseline,240,6.697328834001193,6.314122417112401,-2.2500519965736505e-15,6.669423297192855,1.00418410041841,0.0
upper_layer_mean_temperature_k,0.5,global,all_era5,linear_regression,240,2.536485004690103,1.9640768388884264,0.004526582652391061,6.669423297192855,0.3803154923091631,62.126915557545836
upper_layer_mean_temperature_k,0.5,global,all_era5,ridge_regression,240,2.9320133534849493,2.365270275538489,0.003261820409937973,6.669423297192855,0.4396202224439746,56.221152848287524
upper_layer_mean_temperature_k,0.5,source_name,high_latitude_continental_2020,mean_baseline,60,3.441336887472731,2.945238542287361,9.473903143468002e-16,3.3839812726815155,1.016949152542374,0.0
upper_layer_mean_temperature_k,0.5,source_name,high_latitude_continental_2020,linear_regression,60,3.1236170938566037,2.456800634608406,0.006099052935827842,3.3839812726815155,0.9230598050506954,9.232452503348377
upper_layer_mean_temperature_k,0.5,source_name,high_latitude_continental_2020,ridge_regression,60,3.093255834962044,2.5272025164120886,0.0002550986993133127,3.3839812726815155,0.9140877521792263,10.114704369042837
upper_layer_mean_temperature_k,0.5,source_name,lower_latitude_maritime_2020,mean_baseline,100,0.32733466425554114,0.2681760367961877,7.105427357601002e-15,0.324061317612984,1.0101010101010155,0.0
upper_layer_mean_temperature_k,0.5,source_name,lower_latitude_maritime_2020,linear_regression,100,0.3003944344043936,0.24886291217212686,0.00034627464620569983,0.324061317612984,0.9269678856368319,8.230179321954134
upper_layer_mean_temperature_k,0.5,source_name,lower_latitude_maritime_2020,ridge_regression,100,0.30018475575040027,0.24866453992155754,0.00033578228976011815,0.324061317612984,0.9263208517497336,8.294235676776873
upper_layer_mean_temperature_k,0.5,source_name,winter_midlatitude_maritime_sample,mean_baseline,80,0.7218569347110927,0.5922586304225949,2.5224267119483555e-14,0.7128337230272038,1.0126582278481016,0.0
upper_layer_mean_temperature_k,0.5,source_name,winter_midlatitude_maritime_sample,linear_regression,80,0.6185329584119559,0.510236591113355,-0.00478720165520734,0.7128337230272038,0.8677100120701653,14.31363630807121
upper_layer_mean_temperature_k,0.5,source_name,winter_midlatitude_maritime_sample,ridge_regression,80,0.6179028519060212,0.5107754408800809,-0.004748576824832896,0.7128337230272038,0.8668260660872805,14.400925973881073
upper_layer_mean_temperature_k,0.5,source_name_pooled,all_sources_pooled,mean_baseline,240,1.7829855198542681,1.0454691943777834,1.1605531350748303e-14,6.669423297192855,0.2673372854598572,0.0
upper_layer_mean_temperature_k,0.5,source_name_pooled,all_sources_pooled,linear_regression,240,1.6138067679344539,0.8879719024282727,7.331045147355535e-05,6.669423297192855,0.2419709615093259,9.488509583277038
upper_layer_mean_temperature_k,0.5,source_name_pooled,all_sources_pooled,ridge_regression,240,1.599022231372431,0.905669334363698,-0.0013791749793825878,6.669423297192855,0.2397541976448632,10.317710740403175
lower_layer_mean_temperature_k,1.0,global,all_era5,mean_baseline,240,14.51978531861896,11.904808138337925,-3.647452710235181e-14,14.459286213124718,1.0041841004184098,0.0
lower_layer_mean_temperature_k,1.0,global,all_era5,linear_regression,240,1.3579228821532878,1.0671540520145641,-0.0004172936135218445,14.459286213124718,0.09391354885282642,90.6477757600727
lower_layer_mean_temperature_k,1.0,global,all_era5,ridge_regression,240,1.4128312631705795,1.1125054460416086,-7.529353683691417e-05,14.459286213124718,0.09771099640369178,90.26961327479903
lower_layer_mean_temperature_k,1.0,source_name,high_latitude_continental_2020,mean_baseline,60,1.9628582456336663,1.6880731119274397,-1.3737159558028604e-14,1.9301439415397743,1.0169491525423715,0.0
