profile_index,profile_id,valid_time,latitude,longitude,region_name,sample_group,frequency_ghz,tb_base_k,tb_humid_k,tb_dry_k,dTb_humid_k,dTb_dry_k,nedt_k,humid_ratio,dry_ratio,surface_temperature_k,min_temperature_k,max_temperature_k,mean_temperature_k,min_h2o_vmr,max_h2o_vmr
3,t00_loc03,2020-01-01T00:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,52.8,259.45931671809524,259.446549203794,259.4718870241419,-0.012767514301231131,0.012570306046654878,0.5,0.025535028602462262,0.025140612093309755,278.1865234375,195.66867065429688,278.1865234375,238.49892404917125,4.643711416075878e-06,0.007168273036108604
3,t00_loc03,2020-01-01T00:00:00.000000000,58.0,10.75,northern_sector_east,northern_sector_east_loc01,54.4,230.86224957405005,230.859510123588,230.86495067508582,-0.0027394504620588123,0.0027011010357682608,0.7,0.003913500660084018,0.00385871576538323,278.1865234375,195.66867065429688,278.1865234375,238.49892404917125,4.643711416075878e-06,0.007168273036108604
4,t00_loc04,2020-01-01T00:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,50.3,270.6441702550902,270.62994192035853,270.65818632719805,-0.01422833473168339,0.014016072107835953,0.3,0.04742778243894463,0.04672024035945318,277.7451171875,195.64035034179688,277.7451171875,239.19035628035263,4.651572636295742e-06,0.007192251989745268
4,t00_loc04,2020-01-01T00:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,52.8,259.5407036544562,259.53073842317195,259.5505272181568,-0.009965231284240872,0.009823563700592786,0.5,0.019930462568481744,0.01964712740118557,277.7451171875,195.64035034179688,277.7451171875,239.19035628035263,4.651572636295742e-06,0.007192251989745268
4,t00_loc04,2020-01-01T00:00:00.000000000,57.0,10.0,southern_sector_west,southern_sector_west_loc00,54.4,231.24059399086295,231.23844315839202,231.2427185326494,-0.0021508324709316184,0.002124541786457712,0.7,0.003072617815616598,0.003035059694939589,277.7451171875,195.64035034179688,277.7451171875,239.19035628035263,4.651572636295742e-06,0.007192251989745268
5,t00_loc05,2020-01-01T00:00:00.000000000,57.0,10.25,southern_sector_west,southern_sector_west_loc01,50.3,270.6496893905928,270.6351060865927,270.6640542914117,-0.014583304000097996,0.01436490081886177,0.3,0.04861101333365999,0.047883002729539235,277.7880859375,195.55734252929688,277.7880859375,239.17940294420396,4.650168846965128e-06,0.007036788206864974
5,t00_loc05,2020-01-01T00:00:00.000000000,57.0,10.25,southern_sector_west,southern_sector_west_loc01,52.8,259.50826264321074,259.49807900748465,259.51830029124034,-0.010183635726093598,0.010037648029594948,0.5,0.020367271452187197,0.020075296059189895,277.7880859375,195.55734252929688,277.7880859375,239.17940294420396,4.650168846965128e-06,0.007036788206864974
5,t00_loc05,2020-01-01T00:00:00.000000000,57.0,10.25,southern_sector_west,southern_sector_west_loc01,54.4,231.2232557714352,231.22109074869857,231.22539386363005,-0.0021650227366194486,0.002138092194854835,0.7,0.0030928896237420694,0.0030544174212211927,277.7880859375,195.55734252929688,277.7880859375,239.17940294420396,4.650168846965128e-06,0.007036788206864974
6,t00_loc06,2020-01-01T00:00:00.000000000,57.0,11.0,southern_sector_east,southern_sector_east_loc00,50.3,270.6531155931127,270.6369400509579,270.66904037618195,-0.016175542154826417,0.015924783069237947,0.3,0.05391847384942139,0.05308261023079316,277.9482421875,195.39620971679688,277.9482421875,239.1075072417388,4.647595233198703e-06,0.006761512857011655
6,t00_loc06,2020-01-01T00:00:00.000000000,57.0,11.0,southern_sector_east,southern_sector_east_loc00,52.8,259.3616455811308,259.3505225684818,259.37260231255095,-0.011123012649022712,0.0109567314201513,0.5,0.022246025298045424,0.0219134628403026,277.9482421875,195.39620971679688,277.9482421875,239.1075072417388,4.647595233198703e-06,0.006761512857011655
6,t00_loc06,2020-01-01T00:00:00.000000000,57.0,11.0,southern_sector_east,southern_sector_east_loc00,54.4,231.13162609235036,231.1293849631272,231.1338377903524,-0.002241129223165217,0.0022116980020427945,0.7,0.00320161317595031,0.0031595685743468493,277.9482421875,195.39620971679688,277.9482421875,239.1075072417388,4.647595233198703e-06,0.006761512857011655
7,t00_loc07,2020-01-01T00:00:00.000000000,57.0,10.75,southern_sector_east,southern_sector_east_loc01,50.3,270.6854317199108,270.66964168980377,270.7009788675659,-0.015790030107041275,0.015547147655070148,0.3,0.052633433690137586,0.0518238255169005,277.9443359375,195.43234252929688,277.9443359375,239.1295458819415,4.64857788572673e-06,0.006876714995531997
7,t00_loc07,2020-01-01T00:00:00.000000000,57.0,10.75,southern_sector_east,southern_sector_east_loc01,52.8,259.42577306195506,259.41486828328505,259.4365163727391,-0.010904778670010273,0.010743310784050664,0.5,0.021809557340020547,0.021486621568101327,277.9443359375,195.43234252929688,277.9443359375,239.1295458819415,4.64857788572673e-06,0.006876714995531997
7,t00_loc07,2020-01-01T00:00:00.000000000,57.0,10.75,southern_sector_east,southern_sector_east_loc01,54.4,231.16409501678217,231.1618623598663,231.16629871066274,-0.002232656915879261,0.0022036938805740647,0.7,0.0031895098798275156,0.0031481341151058067,277.9443359375,195.43234252929688,277.9443359375,239.1295458819415,4.64857788572673e-06,0.006876714995531997
8,t01_loc00,2020-01-01T06:00:00.000000000,58.0,10.0,northern_sector_west,northern_sector_west_loc00,50.3,271.4641017831268,271.45802660708256,271.4700931333955,-0.006075176044248565,0.005991350268686801,0.3,0.020250586814161885,0.019971167562289338,278.3331298828125,193.97393798828125,278.947509765625,239.43668262378588,4.659125315392628e-06,0.0070598327594999484
