target_name,model_name,feature_case,grouping,source_name,n_samples,rmse_k,mae_k,bias_k,target_std_k,normalized_rmse,rmse_reduction_vs_baseline_pct
lower_layer_mean_temperature_k,mean_baseline,full_3channel,source_name,high_latitude_continental_2020,60,1.9628582456336663,1.6880731119274397,-1.3737159558028604e-14,1.9301439415397743,1.0169491525423715,0.0
lower_layer_mean_temperature_k,linear_regression,full_3channel,source_name,high_latitude_continental_2020,60,0.9138110705018708,0.6781272748199962,0.0016885720206862706,1.9301439415397743,0.47344192877805635,53.444877003491065
lower_layer_mean_temperature_k,ridge_regression,full_3channel,source_name,high_latitude_continental_2020,60,0.9117330337340087,0.6810205984880511,0.001083995059343105,1.9301439415397743,0.47236530608524085,53.55074490161793
lower_layer_mean_temperature_k,mean_baseline,full_3channel,source_name,lower_latitude_maritime_2020,100,0.440528023832331,0.33445630930890957,-6.8212102632969615e-15,0.43612274359400777,1.01010101010101,0.0
lower_layer_mean_temperature_k,linear_regression,full_3channel,source_name,lower_latitude_maritime_2020,100,0.21956891776414394,0.1766306708496677,0.0006778649974955897,0.43612274359400777,0.503456701099137,50.15778659118541
lower_layer_mean_temperature_k,ridge_regression,full_3channel,source_name,lower_latitude_maritime_2020,100,0.21950123457822984,0.17652293077781678,0.0006778750666694577,0.43612274359400777,0.5033015081244337,50.173150695681045
lower_layer_mean_temperature_k,mean_baseline,full_3channel,source_name,winter_midlatitude_maritime_sample,80,1.3913005148696294,1.1542713149187371,-7.105427357601002e-16,1.3739092584337618,1.0126582278480991,0.0
lower_layer_mean_temperature_k,linear_regression,full_3channel,source_name,winter_midlatitude_maritime_sample,80,1.0498487730535708,0.8491546234123952,0.003414762822193751,1.3739092584337618,0.7641325412206512,24.541911554460537
lower_layer_mean_temperature_k,ridge_regression,full_3channel,source_name,winter_midlatitude_maritime_sample,80,1.0493921062936258,0.8491350301879799,0.0033759859781959277,1.3739092584337618,0.7638001562708142,24.57473456825694
lower_layer_mean_temperature_k,mean_baseline,full_3channel,source_name_pooled,,240,1.2997317244650368,0.9461321785001513,-6.5133084111342514e-15,14.459286213124718,0.08988906542878086,0.0
lower_layer_mean_temperature_k,linear_regression,full_3channel,source_name_pooled,,240,0.7721687181290253,0.5261794726964923,0.001842841028192647,14.459286213124718,0.05340296241097479,40.59014613597694
lower_layer_mean_temperature_k,ridge_regression,full_3channel,source_name_pooled,,240,0.7713392306738208,0.5268513808420964,0.0016787753686800264,14.459286213124718,0.05334559530149385,40.65396603354433
lower_layer_mean_temperature_k,mean_baseline,drop_50_3,source_name,high_latitude_continental_2020,60,1.9628582456336663,1.6880731119274397,-1.3737159558028604e-14,1.9301439415397743,1.0169491525423715,0.0
lower_layer_mean_temperature_k,linear_regression,drop_50_3,source_name,high_latitude_continental_2020,60,0.9066981282481784,0.6636705829710081,0.0018599965746574298,1.9301439415397743,0.4697567413158104,53.807253770611915
lower_layer_mean_temperature_k,ridge_regression,drop_50_3,source_name,high_latitude_continental_2020,60,0.9064700795943027,0.6598087147527034,0.0016693422474276076,1.9301439415397743,0.4696385902033634,53.81887196333588
lower_layer_mean_temperature_k,mean_baseline,drop_50_3,source_name,lower_latitude_maritime_2020,100,0.440528023832331,0.33445630930890957,-6.8212102632969615e-15,0.43612274359400777,1.01010101010101,0.0
lower_layer_mean_temperature_k,linear_regression,drop_50_3,source_name,lower_latitude_maritime_2020,100,0.3331439444378829,0.254758610432296,0.00016364505510352956,0.43612274359400777,0.7638765676206304,24.376219805557575
lower_layer_mean_temperature_k,ridge_regression,drop_50_3,source_name,lower_latitude_maritime_2020,100,0.3330615702348253,0.25472650482537235,0.00017315681388595293,0.43612274359400777,0.7636876891356911,24.394918775566566
lower_layer_mean_temperature_k,mean_baseline,drop_50_3,source_name,winter_midlatitude_maritime_sample,80,1.3913005148696294,1.1542713149187371,-7.105427357601002e-16,1.3739092584337618,1.0126582278480991,0.0
lower_layer_mean_temperature_k,linear_regression,drop_50_3,source_name,winter_midlatitude_maritime_sample,80,1.0390929760354484,0.8409063316082438,0.002891742154393739,1.3739092584337618,0.7563039332160848,25.31498659491147
lower_layer_mean_temperature_k,ridge_regression,drop_50_3,source_name,winter_midlatitude_maritime_sample,80,1.0388641145034763,0.8409475425380755,0.0028409166346087034,1.3739092584337618,0.7561373563256772,25.33143606283922
lower_layer_mean_temperature_k,mean_baseline,drop_50_3,source_name_pooled,,240,1.2997317244650368,0.9461321785001513,-6.5133084111342514e-15,14.459286213124718,0.08988906542878086,0.0
lower_layer_mean_temperature_k,linear_regression,drop_50_3,source_name_pooled,,240,0.7820957836303911,0.55236917729229,0.0014970986347554078,14.459286213124718,0.05408951535384101,39.82636809513148
lower_layer_mean_temperature_k,ridge_regression,drop_50_3,source_name_pooled,,240,0.7819137131128936,0.5514040698781062,0.0014364564458456167,14.459286213124718,0.054076923410171465,39.84037641039151
lower_layer_mean_temperature_k,mean_baseline,drop_52_8,source_name,high_latitude_continental_2020,60,1.9628582456336663,1.6880731119274397,-1.3737159558028604e-14,1.9301439415397743,1.0169491525423715,0.0
lower_layer_mean_temperature_k,linear_regression,drop_52_8,source_name,high_latitude_continental_2020,60,0.9991342064801639,0.8335268362526956,-0.0035190731825210262,1.9301439415397743,0.5176475106219817,49.097994788838406
lower_layer_mean_temperature_k,ridge_regression,drop_52_8,source_name,high_latitude_continental_2020,60,0.9986395984901213,0.8348546194617782,-0.0035427901317153974,1.9301439415397743,0.517391256163753,49.12319314389756
lower_layer_mean_temperature_k,mean_baseline,drop_52_8,source_name,lower_latitude_maritime_2020,100,0.440528023832331,0.33445630930890957,-6.8212102632969615e-15,0.43612274359400777,1.01010101010101,0.0
lower_layer_mean_temperature_k,linear_regression,drop_52_8,source_name,lower_latitude_maritime_2020,100,0.23468387940239685,0.19391946130996757,0.001475843253600715,0.43612274359400777,0.5381142874329596,46.726685544136984
lower_layer_mean_temperature_k,ridge_regression,drop_52_8,source_name,lower_latitude_maritime_2020,100,0.2346585862838855,0.19420984666560684,0.0014577783184756754,0.43612274359400777,0.5380562920202395,46.73242708999628
lower_layer_mean_temperature_k,mean_baseline,drop_52_8,source_name,winter_midlatitude_maritime_sample,80,1.3913005148696294,1.1542713149187371,-7.105427357601002e-16,1.3739092584337618,1.0126582278480991,0.0
